projectId	number	author	createdAt	labels	title	title_numberOfWords	body	body_numberOfWords
8514	3	niquola	2009-04-28T12:01:59.000Z	[actionpack]	status internal-server-error private split mime	11	request json javascript content-type json xmlhttprequest get server status internal-server-error private split mime rubygems actioncontroller mime method-missing rubygems rack media-type rubygems rack rubygems rack post rubygems actioncontroller request parameters rubygems actioncontroller parameters rubygems actioncontroller assign shortcuts rubygems actioncontroller process rubygems actioncontroller sass process rubygems libsass process rubygems actioncontroller call exception rubygems actioncontroller dispatch rubygems actioncontroller call rubygems actioncontroller rubygems active-record-query call rubygems active-record-query call rubygems activerecord connection abstract rubygems active-record-query rubygems active-record-query call rubygems activerecord connection abstract connection call rubygems rack call rubygems rack call rubygems actioncontroller params call rubygems actioncontroller call rubygems actioncontroller session call rubygems actioncontroller call rubygems actioncontroller call rubygems rack call rubygems rack synchronize rubygems rack call rubygems actioncontroller call rubygems rack call rubygems rack call rubygems rack each rubygems rack call rubygems rack call rubygems rack call rubygems rack call rubygems rack handler process rubygems process client rubygems each rubygems process client rubygems rubygems rubygems rubygems rubygems rubygems rubygems rubygems rack handler rubygems locallib ruby-1.8 rubygems gem require locallib ruby-1.8 rubygems require server	685
460078	40	mhevery	2010-10-06T23:07:34.000Z	[]	init phase	5	 	0
460078	51	esprehn	2010-10-14T21:26:59.000Z	[]	preserve properties override	6	function return creation function return creation	19
460078	85	igorminar	2010-10-26T04:36:18.000Z	[]	 	4	methods methods having foreach	19
460078	98	igorminar	2010-10-27T23:42:28.000Z	[]	infinite-loop location hash set	8	any main html append address-bar file browser reloading like routes definition onchange handlers this	51
460078	119	igorminar	2010-11-02T05:05:27.000Z	[]	dsl matcher display string matching	12	string was was match was	61
460078	123	esprehn	2010-11-04T18:32:04.000Z	[]	repeater use binding logic substring matching	9	 	2
460078	134	esprehn	2010-11-09T03:47:35.000Z	[type: feature]	element dsl css get set css	12	element display	5
460078	152	kurtsteinkraus	2010-11-17T18:54:27.000Z	[type: bug]	callback	11	var self this function set callback like callback call progress like this callback call result call param callback callback grab value documentation service	121
460078	153	esprehn	2010-11-17T19:00:35.000Z	[type: bug]	name-attribute	10	html required use use show copy instance textarea readonly textarea selectall field focus selectall text element name-attribute	60
460078	159	esprehn	2010-11-18T23:14:59.000Z	[type: bug]	datefilter messages user-friendly	6	date exception date generated	23
460078	169	pmurias	2010-11-27T16:28:17.000Z	[type: bug]	binding	9	this value input effect doctype html public w3c dtd html html4 html head meta http-equiv content-type text html utf-8 title editor title text javascript src init input text input html	81
460078	170	pmurias	2010-11-27T16:46:21.000Z	[type: bug]	select contains option generated repeat value default selection	19	this doctype html public w3c dtd html html4 html head meta http-equiv content-type text html utf-8 title editor title text javascript src head select init options display block option repeat option options option option select html	78
460078	189	aornelas	2010-12-10T01:45:58.000Z	[]	eval request back	10	 	3
460078	199	igorminar	2010-12-20T21:29:18.000Z	[type: chore]	using jake rake	6	 	2
460078	217	mdsubbu	2011-01-07T22:26:14.000Z	[]	handle default routes	11	methods which redirect default which object hash path like which redirect defined controller	56
460078	224	igorminar	2011-01-08T22:27:42.000Z	[]	domcontentloaded	5	dom-events domcontentloaded legacy wise jquery jquery jquery blob master src	44
460078	242	igorminar	2011-01-19T15:25:00.000Z	[type: bug]	null properties get	7	rendering json value null string null doctype html html head text javascript src head init null string null table border repeat table html	88
460078	260	vojtajina	2011-02-04T01:46:47.000Z	[]	 	2	src service updating location	27
460078	276	arantius	2011-02-15T15:53:39.000Z	[]	effect	6	testcase behavior alert document title behavior alert document title	36
8514	522	dhh	2011-05-11T19:48:35.000Z	[activerecord]	activerecord	7	class todo activerecord base default-scope where has-many comments class activerecord base default-scope where has-many todos comments todos activerecord mysql2 where-clause comments set where comments todos todos comments todo order	74
8514	544	byrnejb	2011-05-13T14:52:39.000Z	[]	handle timestamp infinity	7	ruby-1.8.7 concept infinity irb infinity infinity activerecord migration concept infinity postgresql adapter create-table default infinity null alter-table alter-table add timestamp timezone alter-table alter-column set storage alter-table alter-column set notnull alter-table alter-column setdefault infinity timestamp timezone default postgresql adapter infinity this ruby implementation date class coercion infinity date infinity date nomethoderror undefined date infinity irb date nomethoderror undefined date irb infinity trap override exception receiver effect this date date infinity timestamp versions postgresql gem handles this orm this	306
8514	713	lighthouse-import	2011-05-16T03:52:24.000Z	[]	rake-test undefined map string	8	lighthouse projects utc task undefined map string using git rake rake undefined map string testunit filelist environment ruby ruby revision	72
8514	796	lighthouse-import	2011-05-16T04:25:57.000Z	[]	has-many associations parent	15	lighthouse projects utc model has-many using validationexception can ruby class activerecord base user user this class user activerecord base has-many has-many user this activerecord expect this activerecord expect this raise expect using	152
8514	950	lighthouse-import	2011-05-16T04:48:23.000Z	[]	activerecord dot period condition value	11	lighthouse projects utc barebones this this where this fix any this model model order scope set where condition models class activerecord base has-many items class activerecord base default-scope order ordinal items items items loaded ordinal each period order scope this git-clone git rake migrate seed	207
8514	987	lighthouse-import	2011-05-16T05:31:30.000Z	[]	fix misspelling lambda	6	lighthouse projects utc local lambda local patch this	35
8514	1058	lighthouse-import	2011-05-16T05:39:35.000Z	[]	activemodel xml-serialization patch	3	lighthouse projects utc option xml string attributes activemodel instance ruby class include activemodel xml extend activemodel naming attr-accessor attributes attributes attributes string puts xml xml xml version encoding utf-8 string integer xml this activerecord option has-many associations where class match instance ruby has-many classname this case each car xml car string attributes patch inclusion next release	166
8514	1168	senny	2011-05-20T14:47:10.000Z	[]	activemodel	7	namespaces legacy-code overwrite which uses routes activemodel string which this precedence ruby class activerecord base activemodel self location	68
