projectId	number	author	createdAt	labels	title	title_numberOfWords	body	body_numberOfWords
460078	90	mhevery	2010-10-26T20:51:35.000Z	[]	 	3	 	0
460078	146	mhevery	2010-11-16T06:01:13.000Z	[type: bug;;type: feature]	url encoding	10	abc which back-button back abc which	28
460078	192	igorminar	2010-12-11T01:58:31.000Z	[type: docs]	location service eval	9	location service eval state eval stage sametime inject location which can eval stage delay service which eval call root eval nor clear this	83
460078	199	igorminar	2010-12-20T21:29:18.000Z	[type: chore]	using jake rake	6	 	2
460078	207	igorminar	2011-01-05T00:37:35.000Z	[component: scenario runner]	rename pause sleep wait pause	8	pause runner resume sleep runner period clear	27
460078	228	igorminar	2011-01-10T23:27:29.000Z	[type: feature]	toggle	2	display element hide element expression show hide show exp hide exp exp operation toggle toggle exp toggle	91
460078	234	igorminar	2011-01-14T00:46:08.000Z	[type: bug]	contain prefix	5	contain prefix expect this href	29
460078	235	igorminar	2011-01-15T05:42:10.000Z	[type: bug]	select option repeater	6	doctype html html head text javascript src head init select option repeat option select select option repeat label option select select box select option repeat option select html get options get options get options select box	152
460078	237	igorminar	2011-01-18T18:46:16.000Z	[component: scenario runner]	add	2	nice this expect input limit expect element input limit	25
460078	281	arantius	2011-02-16T17:27:31.000Z	[type: bug]	rfe	2	replace hash value history back-button default root user legacy format request add location which uses	72
460078	301	mhevery	2011-03-07T19:08:40.000Z	[type: feature]	options directive	3	this select selection format option repeat value value value option select bit select selection options display format value nullable select show selection extra option option words can user can format	110
460078	314	mhevery	2011-03-26T20:05:26.000Z	[prs plz!]	browser events out box hover	10	browser events mouseover out box	12
8514	337	smartinez87	2011-04-28T12:56:31.000Z	[]	filter	4	testing login login action filtering parameters ruby rdb eval env action filter password-confirmation raw-post filter like this ruby eval actiondispatch env parameters commit sign action authenticity-token controller devise user email ruby eval actiondispatch env env env like this ruby action parameters commit sign authenticity-token user email authenticity-token user user user user commit can plaintext this can filter can this projects	199
460078	338	mhevery	2011-05-04T17:28:51.000Z	[]	show	9	element element element match html head text javascript src ajax libs jquery src text javascript text javascript function function alert function-expression return function element var html click alert href click alert href html this function scope head controller html	106
8514	402	sobrinho	2011-05-05T18:43:44.000Z	[]	record using foreign-keys table exception	14	this case class profile activerecord base roles class role activerecord base profiles table class activerecord migration create-table profiles roles profile role add key profiles roles profiles add key profiles roles roles drop-table profiles roles destroy profile postgresql foreign-keys join table jointable record this blob activerecord activerecord this destroy destroy activerecord suite using sqlite3 adapter checked this	147
8514	406	ericallam	2011-05-05T21:45:16.000Z	[]	default-scope order clause aggregation	7	class user scope order select count order this using postgresql adapter	36
8514	411	janx	2011-05-06T11:11:08.000Z	[]	save record field contains	6	any model string field use user nomethoderror object expect instance home bundler activerecord activerecord connection mysql2 block exec home bundler activerecord activerecord connection mysql2 gsub home bundler activerecord activerecord connection mysql2 exec home bundler activerecord activerecord connection abstract database commit	138
8514	412	joneslee85	2011-05-06T11:12:45.000Z	[]	execjs runtime message	8	pre home mojo runtime find javascript runtime execjs home mojo home mojo require home mojo home mojo require home mojo home mojo sprockets require home mojo sprockets using home mojo sprockets home mojo actioncontroller require home mojo actioncontroller home mojo activerecord require home mojo activerecord home mojo require home mojo home mojo each home mojo home mojo sites config require home mojo sites config home mojo require home mojo home mojo tap home mojo require pre	315
