projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
460078	40	2011-04-20T18:07:07.000Z	groner	2	328528	23b255a8b7481ff5c06004b3558c07f981c42276	
460078	85	2011-04-20T18:07:07.000Z	groner	2	328521	0a6cf70debc6440685af3f9ea96a66450e4f4ed7	
460078	152	2011-04-20T18:07:07.000Z	groner	2	328515	011fa39c2a0b5da843395b538fc4e52e5ade8287	
460078	153	2011-04-20T18:07:07.000Z	groner	2	328518	ec4d446f898e7860c12a337200c31c3b75f663cc	
460078	159	2011-04-20T18:07:07.000Z	groner	2	328522	aab3df7aeaf79908e8b6212288b283adb42b1ce6	
460078	169	2011-04-20T18:07:07.000Z	groner	2	328516	fa722447f89e0215463cb39dfd1532189057fea8	
460078	170	2011-04-20T18:07:07.000Z	groner	2	328514	5a8ad8fe329fc09898ff43a060710265d38393be	
460078	189	2011-04-20T18:07:07.000Z	groner	2	328517	b370fac4fc7e4c4da3b7968ed44cf3745c2ad7a4	
460078	217	2011-04-20T18:07:07.000Z	groner	2	328524	ce7ab3d1ee0e496c4b9838950b56fc1555b5bcf0	
460078	224	2011-04-20T18:07:07.000Z	groner	2	328520	c79aba92f6b058742c9ae20a9382f6abc68afcea	
460078	242	2011-04-20T18:07:07.000Z	groner	2	328523	4a569560d8b667e625f8d9c9aea2e02945af058c	
460078	260	2011-04-20T18:07:07.000Z	groner	2	328526	d6db4b174940782867d1cf42e1e0152046fe05c1	
460078	276	2011-04-20T18:07:07.000Z	groner	2	328527	c37bb2dc2880ac066c0a465eb6390bf870c84a29	
8514	544	2011-05-13T21:37:48.000Z	sleeptillseven	2	663441	ce1a1b47be2abc42062c24954108550d8a431e1b	
8514	1058	2011-05-18T19:53:46.000Z	joshk	2	742955	fbf99653f14273773e4437390ecdca736f495fb9	
8514	987	2011-05-18T19:59:33.000Z	joshk	2	743072	86491476d5ff346e46cc024a890bf1e71530bdd5	
8514	1168	2011-05-20T15:27:54.000Z	arunagw	2	774764	19ee8413deee4bf202e87d53bf6d99b24a795ac8	
8514	796	2011-05-24T19:20:44.000Z	vijaydev	2	832973	176883a906e49a52fbfe9990bf18c16b3170161d	
8514	1289	2011-05-27T21:28:13.000Z	gnufied	2	894037	985ace4d7fd6a1ed4f0964c3172f1f554a88c769	
8514	1360	2011-05-31T20:38:24.000Z	martinploeger	2	942238	dfaad4f5a78b2e21a3b86e0daea3afb3b483dc5e	
8514	1423	2011-06-01T00:56:58.000Z	sikachu	2	946147	cf3364a03c665374f6419a8875474ebf8623ea67	
8514	1467	2011-06-03T13:45:48.000Z	pixeltrix	2	998495	64325a82427120cf7659c80e1b67ca1ffb01ebc4	
8514	1489	2011-06-08T00:11:45.000Z	smartinez87	2	1071789	2684f17a17e4f97bdb89d20b4cd08585235263a2	
8514	1524	2011-06-08T00:11:45.000Z	smartinez87	2	1071791	7d1782a2c15094224986e60eb15e864f8ea18e37	
8514	1597	2011-06-10T11:38:48.000Z	bdq	2	1123279	0bcbcdfdad1e082ba7740a5d60c61eb3349b670a	
8514	1663	2011-06-12T16:20:41.000Z	reu	2	1154019	1fa059cd017c134499835593ba29620c4cd7358c	
8514	1673	2011-06-13T12:50:09.000Z	tinogomes	2	1163803	5d655aabcb47a68e7ce1dfb60222e951a6d30169	
8514	1682	2011-06-23T19:08:36.000Z	martinploeger	2	1364050	87d6865bf71eb3feb5831ca541f3493aa36ee88e	
8514	1842	2011-06-30T23:53:53.000Z	smartinez87	2	1516740	0e225ec583db523a8b7da332eaf689149ed60447	
8514	1958	2011-07-04T16:05:46.000Z	martinploeger	2	1579390	718542bb182af38d225384b26adb820c7589ea9a	
8514	1960	2011-07-08T20:46:58.000Z	bhus	2	1679128	dfec3737b05d22e6f298bcae0a8948a4b8803ebd	
8514	1992	2011-07-09T05:43:40.000Z	dmitriy-kiriyenko	2	1685281	d9182c0ae9494ad1181678644cbe1c5974e1069c	
8514	1922	2011-07-11T14:39:37.000Z	sleeptillseven	2	1711721	871d7fad03b2c74edc8b853b9c350aa9f9d24a3d	
8514	1471	2011-07-12T04:43:20.000Z	arunagw	2	1727257	1712d90050bd4b32a9ee93548b5eef05a69491f7	
8514	1937	2011-07-18T00:18:36.000Z	norman	2	1841471	fcbde454f673a2b393942b09f855a4febcf331fa	
8514	2162	2011-07-20T22:28:38.000Z	andhapp	2	1914250	09a488456aecf2b4ef7f200546b281cabda56e2f	
8514	2106	2011-07-21T03:45:37.000Z	amatsuda	2	1918631	8bc314b3b7dca6d3c796760ace1bb9c1d4cadf53	
8514	2169	2011-07-21T22:42:00.000Z	gkfabs	2	1938495	bb7e35531e181439ff4a454296a78a00fe1e8723	
8514	2126	2011-07-21T22:42:01.000Z	gkfabs	2	1938496	5b6121aa3428f4fc0f12fd797abde143b97650fb	
8514	1374	2011-07-23T12:24:22.000Z	vatrai	2	1967165	4d8aaff4ea7334ff3f88bedec8147904846f435e	
8514	713	2011-07-23T14:17:53.000Z	vatrai	2	1967922	7e4cedf5345226aab2c5731e3c51579167baeb5a	
8514	2074	2011-07-24T04:36:08.000Z	cldwalker	2	1974296	f956759f8ab656484add2d5bc6e8f6f4add79469	
8514	2107	2011-07-26T02:37:30.000Z	arunagw	2	2007816	36ab1cd293f3dfaa60897e2751fef4f68f1b91d8	
8514	1592	2011-07-29T20:11:31.000Z	martinploeger	2	2102958	3d6e1872550f284dd387ffc87a984a9036376062	
8514	1936	2011-07-29T22:01:33.000Z	sleeptillseven	2	2105125	ea7f50863d3a1e58a28921b15da3927ad7d18f4a	
8514	1872	2011-08-01T09:58:41.000Z	arunagw	2	2133839	860202e8b2e3579402d48d7e56fa738a9529a340	
8514	2031	2011-08-01T09:58:41.000Z	arunagw	2	2133840	860202e8b2e3579402d48d7e56fa738a9529a340	
8514	2431	2011-08-09T02:30:39.000Z	guilleiguaran	2	2305624	9062b75bb7dab38977805c1de35944079a56499a	
8514	2094	2011-08-14T04:35:21.000Z	arunagw	2	2423497	f87b33daaf0f0a93825a3f022d52fcb5aa4c8320	
8514	2107	2011-08-14T04:35:21.000Z	arunagw	2	2423496	cd5f54cfb6ab184659e6e86c6803e4b2915b7271	
8514	1592	2011-08-14T04:35:22.000Z	arunagw	2	2423499	17a66a8ddc5a2ee8263d1dcc86a032322cb8e615	
8514	1697	2011-08-14T04:35:22.000Z	arunagw	2	2423498	c751bb1ac25c1b563cb55da2a25284f430e5e40e	
8514	1936	2011-08-14T04:35:22.000Z	arunagw	2	2423500	f85b9662699d7b77fd9ad4e1303565fdaaed0379	
8514	1872	2011-08-14T04:35:23.000Z	arunagw	2	2423503	5f3265c4714efd697cb71015489a9c59d1129440	
8514	2031	2011-08-14T04:35:23.000Z	arunagw	2	2423504	5f3265c4714efd697cb71015489a9c59d1129440	
8514	2346	2011-08-14T04:35:23.000Z	arunagw	2	2423501	e1b546464ecf20466fb38a93eea9769945774eee	
8514	2355	2011-08-14T04:35:23.000Z	arunagw	2	2423505	68c4b66015dd17e1a91a8ddc90b634d5cfc0f9ff	
8514	2368	2011-08-14T04:35:23.000Z	arunagw	2	2423502	076afd0e22caaa307f5fddeca8a5749586654852	
8514	2054	2011-08-15T15:31:55.000Z	arunagw	2	2445341	57423d815b3747aa382cd3859a15bffa538525ad	
8514	522	2011-08-16T05:09:00.000Z	oem	2	2461453	128d006242dae07edc65ad03e0e045adac0bbbf3	
8514	2624	2011-08-23T11:15:14.000Z	waseem	2	2644216	14cf4b2e353f923155aab1ae0eaafed3c2924b12	
8514	2654	2011-08-23T17:09:54.000Z	vatrai	2	2653266	68a13eded347248fb9d4c8ef7f0ed2af52bba994	
8514	2556	2011-08-29T14:37:32.000Z	sleeptillseven	2	2795599	735d985b0162976e7e900cf36d4cbb0d657fb5e9	
8514	2795	2011-09-01T20:53:16.000Z	dmathieu	2	2914385	fdd619e9a7a5b9457f77e6322c920b99c3c09599	
8514	2645	2011-09-02T04:55:37.000Z	guilleiguaran	2	2922857	6f3c6992c529a09c8f8bfdb1f714bb8ff1e23300	
8514	2840	2011-09-04T02:45:07.000Z	arunagw	2	2963070	0a38e2a5ce2eaf7393958721edbfcf2a7fe87334	
460078	98	2011-09-05T13:10:08.000Z	groner	2	2986592	99f25050a34a0f0e2b0bdc63a55f38097f7098db	
460078	119	2011-09-05T13:10:08.000Z	groner	2	2986593	690dfe000bf11fa6b39235d9a177dc79948841d4	
460078	51	2011-09-05T13:10:09.000Z	groner	2	2986594	00ca67e4befffed00ecee81bd1ce903fe01f542a	
460078	123	2011-09-05T13:10:10.000Z	groner	2	2986598	257e97a65f7dd794faa5d8c0d72bbd5a894cb471	
460078	134	2011-09-05T13:10:10.000Z	groner	2	2986596	96e37a08666f4000cbba6f77a4b362a3480c934b	
8514	2828	2011-09-05T22:50:37.000Z	brunoadacosta	2	3004457	21750122308a38cd2eaf9b46aa1789966eb8abd9	
8514	2755	2011-09-06T15:14:19.000Z	brunoadacosta	2	3022758	b24d668859c5836c0e3ed277b2022a1a39eb3f8e	
8514	2834	2011-09-06T16:01:50.000Z	sleeptillseven	2	3025284	9bde73ff72812f6f3c59ad97be6ca6c628e109ea	
8514	2882	2011-09-07T03:35:17.000Z	arunagw	2	3046557	f6ced69a11cdff56c2e87b84e775ef09c6d999d1	
8514	1339	2011-09-08T01:12:33.000Z	itsmeduncan	2	3078475	834d429e849b590ee7a283909eda9affed065387	
460078	492	2011-09-08T21:28:59.000Z	vojtajina	2	3107421	7e1f364177111ba6cceac82f6c6bcc254448292b	
8514	2858	2011-09-10T23:39:50.000Z	heironimus	2	3158272	e8e1911738ce990b55d068e603124572535baf5d	
8514	3020	2011-09-26T11:56:34.000Z	christos	2	3596917	b838059817aca490f78e3bb74a070729270300db	
8514	3104	2011-09-26T15:24:15.000Z	martinploeger	2	3603526	3b87c38d029c1626161a3e7699d40da3e789d7cb	
8514	2807	2011-09-26T17:56:33.000Z	rroblak	2	3610005	b3407c86cfccd2cc6258b8879e91600fe25c6e48	
8514	3198	2011-10-03T15:52:11.000Z	yahonda	2	3831019	2120d7b838819e14b1722f68941d9c553563a6da	
8514	2980	2011-10-05T03:10:47.000Z	yahonda	2	3891130	5711a35ad8faa3fb6d138b234cbe9acfad27a9a8	
460078	571	2011-10-05T18:02:01.000Z	igorminar	2	3914148	c115fa99240a55e32e1fa39f037056df429be741	
8514	3207	2011-10-05T20:39:08.000Z	martinploeger	2	3919946	2e9e647fee59d975c9564d96c924d29ffe57f2a2	
460078	580	2011-10-08T16:01:48.000Z	igorminar	2	4011703	7aeb6a24f73bd1206640f358fd2630c81a807d44	
8514	2509	2011-10-12T07:55:54.000Z	waseem	2	4127561	2cb2ca68b1973ddd202b094599521e4adc39a217	
8514	3335	2011-10-18T18:52:39.000Z	avakhov	2	4377221	6a28c512e358a95bbabd24af9d2b0608df787158	
