 	 	project:	ALL	ALL	#ofBugs:	93016	#ofCommunityMembers:	75 - 4079						project:	adobe/brackets	2935735	#ofAssignments:	10462	#ofCommunityMembers:	864					project:	angular/angular.js	460078	#ofAssignments:	9658	#ofCommunityMembers:	2386					project:	elastic/elasticsearch	507775	#ofAssignments:	16184	#ofCommunityMembers:	1262					project:	fog/fog	203666	#ofAssignments:	1327	#ofCommunityMembers:	770					project:	html5rocks/www.html5rocks.com	5238231	#ofAssignments:	998	#ofCommunityMembers:	159					project:	julialang/julia	1644196	#ofAssignments:	12748	#ofCommunityMembers:	831					project:	khan/khan-exercises	1723225	#ofAssignments:	857	#ofCommunityMembers:	206					project:	lift/framework	1295197	#ofAssignments:	566	#ofCommunityMembers:	75					project:	rails/rails	8514	#ofAssignments:	11305	#ofCommunityMembers:	4079					project:	saltstack/salt	1390248	#ofAssignments:	15533	#ofCommunityMembers:	2283					project:	travis-ci/travis-ci	1420493	#ofAssignments:	6334	#ofCommunityMembers:	1159					project:	tryghost/ghost	9852918	#ofAssignments:	6142	#ofCommunityMembers:	473					project:	yui/yui3	85670	#ofAssignments:	902	#ofCommunityMembers:	175				
Experiment title	TIME	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
Original cases (just using bug information):																																																																																																																																																												
1- (bTDmL - bTDmL - w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 3tP) - 20170619_174725	13.9Sec	0.58257	54.47196	43.60987	78.43788	88.42574	43.60987	34.17928	19.54836	72.82301	11.6293	85.99406	-	0.56441	52.4501	40.87173	78.03479	89.06519	40.87173	30.96221	19.7878	72.0412	11.94036	86.53763	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69367	68.03713	60.96458	79.35192	82.21552	60.96458	56.48706	17.40769	77.81964	9.11831	81.19819	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65764	60.04045	53.53357	83.74558	91.16608	53.53357	41.34276	20.14134	75.55948	11.76678	87.19081	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2- (bTDmL - bTDmL - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_105954	15.3Sec	0.58262	54.47705	43.60987	78.44597	88.45002	43.60987	34.17928	19.54998	72.83111	11.63173	86.01835	-	0.56442	52.45054	40.87173	78.03479	89.06519	40.87173	30.96221	19.7878	72.0412	11.94036	86.53763	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69369	68.03725	60.96458	79.35192	82.21552	60.96458	56.48706	17.40769	77.81964	9.11831	81.19819	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65866	60.14313	53.53357	83.92226	91.69611	53.53357	41.34276	20.17668	75.73616	11.81979	87.72085	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"First, check the best effect of commits (b+c):"																																																																																																																																																												
3- (bTDmL - bTDmL+c[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110410	19.5Sec	0.58561	54.8107	43.8365	78.89923	88.78996	43.8365	34.37084	19.6811	73.36085	11.67463	86.40483	-	0.567	52.75152	41.10113	78.41713	89.31371	41.10113	31.15975	19.91206	72.51386	11.97477	86.83633	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69817	68.50879	61.03994	79.95479	83.34589	61.03994	56.56242	17.52826	78.42251	9.24642	82.39136	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.66581	60.75725	54.0636	85.33569	91.87279	54.0636	41.69611	20.45936	77.14959	11.81979	87.83863	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4- (bTDmL - bTDmL+c[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110441	16.8Sec	0.58734	54.98715	43.99838	79.0692	88.88709	43.99838	34.49494	19.72643	73.57332	11.68353	86.49049	-	0.56847	52.8968	41.22539	78.5605	89.41885	41.22539	31.22507	19.95794	72.71538	11.98624	86.93749	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70273	68.99376	61.6428	80.40693	83.42125	61.6428	57.16529	17.60362	78.84954	9.24642	82.42904	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.66559	60.78664	53.88693	85.33569	91.87279	53.88693	41.78445	20.42403	77.06125	11.80212	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5- (bTDmL - bTDmL+c[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110507	15.5Sec	0.5889	55.1622	44.16835	79.18252	88.89518	44.16835	34.64198	19.76528	73.71874	11.68758	86.51342	-	0.5701	53.07503	41.39744	78.66565	89.40929	41.39744	31.36526	19.99618	72.85366	11.99102	86.95501	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70612	69.34659	62.17031	80.55765	83.49661	62.17031	57.69279	17.64883	79.03793	9.25396	82.5044	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.66171	60.48593	53.18021	85.51237	92.04947	53.18021	41.16608	20.45936	77.23793	11.78445	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6- (bTDmL - bTDmL+c[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110530	19.4Sec	0.58982	55.26343	44.22501	79.34439	88.88709	44.22501	34.69999	19.79765	73.8736	11.68029	86.48105	-	0.57114	53.18413	41.47391	78.84726	89.40929	41.47391	31.42739	20.0325	73.02778	11.98528	86.93589	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70662	69.40643	62.09495	80.63301	83.42125	62.09495	57.65511	17.6639	79.10701	9.23888	82.39136	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.66126	60.53879	53.18021	85.51237	92.04947	53.18021	41.3722	20.45936	77.23793	11.76678	87.66196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7- (bTDmL - bTDmL+c[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110557	16.8Sec	0.59047	55.32393	44.32214	79.41724	88.879	44.32214	34.7789	19.81222	73.95225	11.67705	86.46486	-	0.57204	53.26301	41.61728	78.93328	89.39973	41.61728	31.53492	20.04397	73.10791	11.98146	86.91678	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70671	69.38896	62.09495	80.70836	83.42125	62.09495	57.61743	17.69405	79.20749	9.24642	82.42904	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65864	60.44233	52.65018	85.33569	92.04947	52.65018	41.19552	20.4947	77.23793	11.74912	87.57362	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
